game_id,format,player_id,player_rating,opening_name,book_moves,turns,result,rating_difference
rb7lq7dT,Rapid,shivcool,1245,Queen's Gambit Accepted: Old Variation,5,38,Lost,-101
hfNJtVnd,Classical,thegrim123321,1336,King's Indian Attack: Keres Variation #2,4,105,Won,49
o1qwAoUy,Blitz,myalcin64,1649,French Defense: Advance Variation #4,6,38,Lost,102
voV4ekhS,Blitz,tutubelezza,1426,French Defense: Knight Variation,3,110,Lost,-101
VUCRbEm8,Rapid,eideral,1557,Ruy Lopez: Morphy Defense |  Caro Variation,8,48,Lost,10
AUzK1bj8,Rapid,au118,1535,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11,177,Won,-74
R5SfPQiB,Rapid,abel4865,1713,Hungarian Opening: Indian Defense,2,114,Lost,155
VXdhNTk5,Rapid,eideral,1497,Owen Defense,2,57,Won,-233
kTRSenmv,Blitz,tca1004,1437,Italian Game,5,57,Won,-115
PEIWrbTQ,Blitz,eideral,1513,Sicilian Defense,5,29,Won,57
8hlHAFPF,Rapid,pablocas,1355,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7,70,Lost,-123
BwBDbyKq,Rapid,tabellaria,1638,Italian Game: Anti-Fried Liver Defense,6,97,Won,24
E41MaCB9,Blitz,tabellaria,1613,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit,11,99,Won,-321
HYMGpINp,Blitz,playforpleasure,1776,Queen's Pawn Game,2,48,Lost,189
L9UeFctE,Rapid,tabellaria,1568,French Defense: Marshall Variation,6,77,Won,-25
DbYHY9Bc,Rapid,mattieuw2,1605,Scandinavian Defense: Icelandic-Palme Gambit,6,80,Lost,59
7fftvkF6,Blitz,tabellaria,1518,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5,35,Won,-191
IlQp1eqc,Rapid,sombragris,1728,Semi-Slav Defense: Noteboom Variation,8,33,Won,201
atgsbOBS,Rapid,tabellaria,1515,Scandinavian Defense: Mieses-Kotroc Variation,4,87,Won,136
Kx4jd1Oo,Rapid,tabellaria,1538,Robatsch (Modern) Defense,4,40,Lost,37
5vg0pHEg,Rapid,jabar72,1511,Queen's Gambit Declined,4,54,Lost,-5
5uNNVd3c,Rapid,little---a,1464,Ruy Lopez: Exchange Variation |  Normal Variation,9,67,Lost,-31
aGVLNoTY,Rapid,tabellaria,1470,King's Pawn Game: Damiano Defense,4,21,Won,-5
W4eyc9dH,Rapid,pasch0s,1490,Italian Game: Schilling-Kostic Gambit,6,14,Lost,50
eRHQGmr2,Rapid,nadanadora,1611,Nimzo-Indian Defense: Ragozin Variation,8,72,Lost,-334
D45fTp2y,Rapid,vpull9,1584,English Opening: Symmetrical Variation |  Anti-Benoni Variation,5,62,Lost,-27
lTOKfWMv,Rapid,ramzaid,1942,Van't Kruijs Opening,1,48,Lost,331
sd7oPNum,Rapid,mejjes,1217,Four Knights Game,6,6,Lost,-394
xLmd5oZZ,Classical,nadanadora,1611,Semi-Slav Defense: Chigorin Defense,12,69,Draw,-448
T3gAyyeH,Rapid,nadanadora,1611,Sicilian Defense: Quinteros Variation,4,72,Won,133
HDPjH5bD,Rapid,googol100,1486,King's Pawn Game: Dresden Opening,5,40,Lost,-66
cFSW3SMi,Rapid,nadanadora,1453,Modern Defense,2,29,Won,-43
wsNnVC6Y,Rapid,nadanadora,1340,English Defense #2,2,44,Won,14
UxvU6EN4,Rapid,corvusossifragus,1532,French Defense: Steinitz Attack,3,59,Won,32
mjXUQnww,Rapid,doom12384,1560,King's Gambit Accepted |  Fischer Defense,6,115,Won,3
lC84DiKq,Rapid,doom12384,1571,Bird Opening: Dutch Variation,2,70,Lost,-6
A17jdHS8,Rapid,doom12384,1580,Bird Opening,2,36,Lost,-37
t5ixT6HN,Rapid,quarks_sparks,1531,Four Knights Game: Gunsberg Variation,7,83,Won,-62
8uZRNw8n,Rapid,lagos16,1449,Four Knights Game: Ranken Variation,9,99,Draw,-148
vwQzM7Sg,Rapid,pepe100,1743,King's Gambit Accepted |  Schallopp Defense,6,43,Won,139
I4zyNfPo,Rapid,runmael,1604,Four Knights Game: Spanish Variation |  Classical Variation,8,89,Won,-10
6eQ92lsE,Rapid,nitegazer,1550,Queen's Pawn Game: Mason Attack,3,96,Lost,-55
jVXtr42v,Classical,ernestillo,1790,Polish Opening,1,65,Won,-84
ZXM2sX4y,Classical,bwalmer,1864,Sicilian Defense: Closed Variation |  Fianchetto Variation,5,81,Won,59
UFKSc5hH,Classical,atilioss,1496,Indian Game: Tartakower Attack,3,45,Lost,-365
jhA7bDVC,Classical,bwalmer,1851,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8,52,Won,-2
vc2eo2Sh,Rapid,spendius,1861,Caro-Kann Defense,4,51,Won,-2
WgPBuJD6,Rapid,tfeng,1618,French Defense: Knight Variation,3,48,Draw,9
WtFUCKgj,Rapid,wahana81,1620,Van't Kruijs Opening,1,20,Lost,13
EQDn1BA7,Rapid,tfeng,1621,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,50,Lost,125
AbDhfpnX,Rapid,tfeng,1633,Philidor Defense #3,5,98,Lost,52
Ger5Zno3,Rapid,thesmallbang,1623,Ruy Lopez: Cozio Defense,6,106,Lost,0
JHH8PcNq,Rapid,tfeng,1612,Italian Game,5,19,Won,-2
8Ie5Oesp,Rapid,famiss11,1605,Italian Game: Giuoco Pianissimo |  Normal,8,22,Won,-19
HN5jnzyI,Rapid,bishopkerry01,1693,Indian Game: West Indian Defense,4,114,Draw,72
GRAng26s,Rapid,tfeng,1631,Sicilian Defense,4,69,Lost,-53
TaaLCuw6,Rapid,vineetg101,1636,Italian Game: Classical Variation |  Closed Variation,8,34,Lost,17
R2JFua6L,Rapid,tfeng,1613,Italian Game: Two Knights Defense |  Traxler Counterattack,8,40,Lost,-4
LcPvndOa,Rapid,tfeng,1627,Italian Game: Hungarian Defense,6,108,Lost,132
oWSctoZp,Rapid,facurezzo,1480,Bishop's Opening,3,27,Won,-163
m793jf7F,Rapid,tfeng,1631,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,63,Won,-21
UaulsArt,Rapid,toniors,1687,Ponziani Opening,5,31,Won,46
EL3LK94E,Rapid,tfeng,1630,Italian Game: Anti-Fried Liver Defense,6,71,Won,-8
PcXdgcJJ,Rapid,locomotora,1414,Ruy Lopez: Cozio Defense,6,92,Lost,-210
XGG3VNC9,Rapid,tfeng,1619,Italian Game: Two Knights Defense |  Knight Attack,7,47,Won,200
n1hgevhj,Rapid,tfeng,1629,Petrov's Defense #2,5,56,Lost,-30
q5P7mAB4,Rapid,ewama,1649,Bishop's Opening,3,48,Won,10
sl4N6t22,Rapid,marcospe1964,1677,Polish Opening,1,124,Lost,50
DhoFXYNH,Rapid,fox22634,1705,Scotch Game: Classical Variation,8,49,Won,69
q6FmC8Id,Rapid,tfeng,1647,Sicilian Defense: Najdorf Variation,13,64,Lost,12
2CvZyh4h,Rapid,tfeng,1637,Italian Game: Classical Variation #2,7,29,Won,10
Psin3ost,Rapid,tfeng,1626,Italian Game,5,45,Won,-5
AaSSYIy6,Rapid,micmeta,1602,King's Gambit Accepted |  Fischer Defense,6,96,Lost,-13
0lWtXgXo,Rapid,shafer24,1634,Bishop's Opening,3,92,Lost,31
IC0EFtA5,Rapid,ironboy,1611,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9,40,Lost,20
L8gPU593,Rapid,tfeng,1579,Italian Game: Giuoco Piano |  Aitken Variation,19,123,Won,-44
0PVGpBvD,Rapid,hetismogelijk,1995,King's Indian Attack: Symmetrical Defense,4,129,Won,414
2icRDIZI,Rapid,bomardan,1589,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack,9,120,Lost,20
ktRhE4Ky,Rapid,tfeng,1570,Italian Game: Anti-Fried Liver Defense,6,71,Draw,15
5AYA7mBv,Rapid,tfeng,1559,French Defense: Knight Variation,3,97,Won,2
qGThbTuM,Rapid,eyany,1546,Indian Game,2,60,Won,-25
pLR3kRgy,Rapid,dandisd,1550,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,6,57,Won,-17
EdKqO9z1,Blitz,tfeng,1560,Caro-Kann Defense: Advance Variation,5,38,Won,141
sAjNrfSm,Blitz,yalicapkini,1840,Scotch Game: Haxo Gambit,8,111,Won,276
BON8sFeZ,Rapid,guber1962,1660,East Indian Defense,4,119,Lost,111
PREaBSqk,Rapid,tfeng,1534,Philidor Defense,5,33,Won,-144
CmAh08GF,Rapid,tarekjrd,1789,Blumenfeld Countergambit #2,6,32,Won,251
FpZiajAh,Rapid,rajapirka,1841,Center Game: Berger Variation,8,96,Lost,-80
uFREIMDF,Blitz,tienc12345,1926,Zukertort Opening: Queenside Fianchetto Variation,2,92,Draw,189
4Wozw7Zh,Blitz,albinas,1629,Queen's Pawn Game #2,3,64,Lost,-258
GIoSZf5k,Blitz,valmasia3,1860,King's Gambit Accepted |  King's Knight Gambit,7,10,Lost,148
9r2yzwRq,Classical,tienc12345,1500,Reti Opening: Reti Accepted,4,85,Won,-68
e4UoYNOg,Rapid,joselito-carnaval,1780,Sicilian Defense: Najdorf Variation,10,40,Lost,-352
sn4zdyQb,Rapid,rustam9,966,Scandinavian Defense,2,58,Lost,-158
ppPlxT3Q,Rapid,halma,884,Nimzo-Larsen Attack: Modern Variation,2,26,Lost,-67
D0idNTxu,Rapid,rustam9,945,King's Knight Opening,3,4,Lost,-125
yTbYtCF6,Rapid,rustam9,971,King's Pawn Game: Nimzowitsch Defense,3,118,Lost,-178
AEIBxJhK,Rapid,cris865,1238,Van't Kruijs Opening,1,11,Won,253
mwcADhNn,Rapid,rustam9,972,English Opening: King's English Variation,2,163,Draw,-275
ygHSZzNE,Rapid,bilabrin,1107,Nimzowitsch Defense: Mikenas Variation,4,95,Won,146
9MESu3hH,Rapid,rustam9,974,Queen's Pawn Game: Chigorin Variation,3,37,Lost,-155
tBXOrjlO,Rapid,raza00,1203,Center Game #2,3,101,Won,233
J5DYrnEf,Rapid,rustam9,998,French Defense: Pelikan Variation,5,80,Lost,61
o5ZRUXrY,Rapid,rustam9,1016,Van't Kruijs Opening,1,78,Lost,-110
e5CGewyU,Rapid,rustam9,1025,French Defense: Mediterranean Defense,4,89,Draw,-128
fV2cuf3p,Rapid,rustam9,1047,Queen's Pawn Game: Chigorin Variation,4,42,Lost,-104
baOLL2ej,Rapid,gabriel_ml,998,Ponziani Opening: Romanishin Variation,6,8,Lost,-18
tHHd8ejz,Rapid,gus247,1127,King's Pawn Game: Wayward Queen Attack,3,101,Won,83
E9Es660b,Rapid,rustam9,1020,Queen's Pawn Game: Zukertort Variation,3,65,Won,-180
0Hl7FLEs,Rapid,rustam9,1069,Queen's Pawn Game: Symmetrical Variation,4,60,Lost,-2
6pOeX4hN,Rapid,ck666,1071,Queen's Pawn Game: Mason Attack,3,71,Draw,3
