id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
lMieuDBG,Blitz,mate,5,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,black,42,bosko1,1480,mashi,1368
YmvxwgHG,Rapid,draw,6,Ruy Lopez: Classical Variation,draw,31,daniil90,1313,mashi,1370
Pl7ZdGbT,Rapid,resign,4,Philidor Defense #2,white,47,mashi,1359,daniil90,1323
a3bZLPeJ,Blitz,outoftime,10,Italian Game: Evans Gambit |  Stone-Ware Variation,black,28,mashi,1361,z257275,1755
HcZQIxRG,Blitz,mate,8,Four Knights Game: Italian Variation,white,39,z257275,1752,mashi,1363
a72cPz2A,Rapid,resign,3,Sicilian Defense: Closed Variation,black,54,mashi,1373,kettlekev,1464
wIneNnu5,Rapid,resign,7,Four Knights Game: Italian Variation,black,86,mashi,1373,foxman2010,2007
cre1i6DG,Rapid,draw,6,Giuoco Piano,draw,62,pabisso,1197,mashi,1379
bRnwnGwY,Classical,outoftime,8,Caro-Kann Defense: Classical Variation,black,20,mashi,1382,eastlynne,1748
B07Eu6WD,Classical,resign,7,Budapest Defense: Adler Variation,black,136,giselher,1778,mashi,1360
EtfaqCum,Blitz,resign,8,Italian Game: Giuoco Pianissimo |  Normal,white,55,aderbalco,1547,mashi,1366
eqx15kFh,Blitz,resign,7,Four Knights Game: Spanish Variation,white,38,rasool6872,1279,checkmate1,1408
sjzicfLS,Rapid,mate,6,Italian Game: Two Knights Defense,black,34,5b2013jonathan,1599,dat_zacha,1473
JtQnt7R1,Blitz,resign,2,French Defense #2,white,33,5b2013jonathan,1497,y5b2014nick,1500
xFerEM6N,Rapid,resign,7,Italian Game: Giuoco Pianissimo,white,105,cleoplatre,1631,aliamini,1563
HvrORfUp,Classical,draw,2,Bird Opening: From's Gambit,draw,102,amazingdragon,1430,amazingfoxtrot,1667
H2GNHY9y,Blitz,outoftime,4,Queen's Gambit Refused: Marshall Defense,white,63,bolillon,1394,henri9,1228
qbz4cQPt,Blitz,outoftime,3,King's Pawn Game: Wayward Queen Attack,black,86,erickkoagz007,1511,henri9,1500
VGr87Skr,Rapid,outoftime,2,Zukertort Opening: Black Mustang Defense,black,120,sugarmike,2016,africool,2000
yI6cT8yt,Rapid,mate,2,Zukertort Opening: Queen's Gambit Invitation,white,101,sugarmike,2006,nohman,1960
fRLACQPX,Rapid,resign,10,Queen's Pawn Game: Torre Attack |  Gruenfeld Variation |  Main Line,white,59,jovosahmat,2043,sugarmike,2017
Q8Pfjqtx,Rapid,resign,2,Modern Defense,black,120,pat222,1600,sugarmike,2015
OyrT2wgH,Rapid,mate,5,Modern Defense: Bishop Attack,black,64,siberiav2,1806,sugarmike,2009
lJw0Buwd,Rapid,outoftime,2,Zukertort Opening: Kingside Fianchetto,white,79,sugarmike,2000,poulou72,1920
1RyK9tQ1,Rapid,mate,2,Reti Opening #2,white,49,sugarmike,1999,chessnorthnorway,1487
Kxaw9vGG,Rapid,resign,2,Zukertort Opening: Queen's Gambit Invitation,white,33,sugarmike,1988,uygursatranc,2010
L7mAcwFE,Rapid,resign,4,Robatsch (Modern) Defense,black,32,pnikolla,1927,sugarmike,1978
Kpw2YX1D,Rapid,mate,1,Polish Opening,black,40,cavalov,1958,sugarmike,1967
UN7MiJP7,Rapid,resign,2,Reti Opening #2,white,65,sugarmike,1955,cavalov,1969
uB4u3dzQ,Rapid,resign,3,King's Indian Attack,black,29,sugarmike,1970,banga,1853
WstI08cw,Rapid,draw,2,Bird Opening: Dutch Variation,draw,152,banga,1850,sugarmike,1974
EiQvAPMI,Rapid,mate,2,Zukertort Opening: Queen's Gambit Invitation,black,130,sugarmike,1989,urungu14,1891
W6tcwpLO,Rapid,mate,3,Alekhine Defense: Maroczy Variation,black,46,nomadic_george,1948,sugarmike,1978
